Project #,Opportunity Title,Pier Load Calcs,Total MW,Module/Row ,DWS (),Snow Load ,Mod Len,Hole c/c,Mod Wid,Mod Thickness,Mod  Weight,Pier Height,GCR,EXT - Total Piers,EXT - Drive Piers,EDG - Total Piers,EDG - Drive Piers,INT - Total Piers,INT - Drive Piers,Tracker Version,"Panel Rail Length Group, A","Panel Hole Spacing Group, B"
1180745,"SunPower - Kupono, HI - 46MW",https://nextracker.app.box.com/file/741278739748?s=fvnmh2x600omynly8rdd4hzpta7fjuai,46,128,107.00,0,2067,1006,1046,46,56,7,0.49,10,10,7,4,,,NXG - 1.3.3.8,3,8
1180745,"SunPower - Kupono, HI - 46MW",https://nextracker.app.box.com/file/747869518273?s=z53oj9g4wsfvm17cuc13z2wkkmzg57t2,46,64,107.00,0,2067,1006,1046,46,56,6.5,0.49,5,5,4,3,,,NXG - 1.3.3.8,3,8
1016987,"EDF - Rockford Baxter Road, IL - 3MW",https://nextracker.box.com/s/v97oq5k9pezagnmfgew1po42qbeng5r8,3,108,105.00,25,1956,946,992,35,48.94,7.5,0.4,8,8,8,4,,,NXG - 1.3.1.2,1,2
1290599,"Adapture - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/745111765947?s=d0dazufsw00bvlmsnqfo2rrpzcl1xmv1,60,116,98.00,5,1966,954,992,40,954,6.5,0.35,7,7,6,4,,,NXG - 1.3.1.2,1,2
1290600,"Adapture - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/744076281766,60,54,98.00,5,2205,982,1032,40,58.42,6.5,0.35,4,4,3,2,,,NXG - 1.3.6.5,6,5
1290601,"Adapture - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/744076953390,60,108,98.00,5,2205,982,1032,40,58.42,6.5,0.35,7,7,6,4,,,NXG - 1.3.6.5,6,5
1290602,"Adapture - Signal Ranch, TX - 60MW - Gemini",https://nextracker.app.box.com/file/744075802925,60,116,98.00,5,2205,982,1032,40,58.42,6.5,0.35,4,4,4,2,,,NXG - 1.3.6.5,6,5
1288399,"Moss - Elderbranch, FL - 108.03MW - Gemini",https://nextracker.box.com/s/320el2rupw7bs8sozqxh0k3ew85fi8l2,108.3,112,142.00,0,2008,952,1002,40,49.6,6.5,0.35,14,14,11,7,,,NXG - 1.3.2.2,2,2
1294220,"M-Y-R Energy - Badger Hollow II, WI - 187MW - Gemini",https://nextracker.box.com/s/0zviqd2lc0gj50u3tu67ruehgg1xuryr,187,104,100.00,30,2094,989,1038,35,51.8,6.5,0.33,7,7,7,4,,,NXG - 1.3.3.6,3,6
810142,"Moss - Mahi Solar, HI - 160MW",https://nextracker.app.box.com/file/748792601719,160,120,135.00,0,2009,,1232,49,77.16,6.5,0.35,16,16,11,9,,,NXG - 1.3.FSLR S6,2,-94
810143,"Moss - Mahi Solar, HI - 160MW",https://nextracker.app.box.com/file/748792439291,160,120,135.00,0,2024,,1245,49,76.94,6.5,0.35,16,16,11,9,,,NXG - 1.3.FSLR S6,2,-94
810144,"Moss - Mahi Solar, HI - 160MW",https://nextracker.app.box.com/file/748792510365,160,60,135.00,0,2024,,1245,49,76.94,6.5,0.35,8,8,6,5,,,NXG - 1.3.FSLR S6,2,-94
810145,"Moss - Mahi Solar, HI - 160MW",https://nextracker.app.box.com/file/748792905903,160,60,135.00,0,2009,,1232,49,77.16,6.5,0.35,8,8,6,5,,,NXG - 1.3.FSLR S6,2,-94
1271279,Atlas - Casa Blanca Extension - Brazil - 239MW - Gemini,https://nextracker.box.com/s/57jyobiyq1zx9oaq65mlnz77l8nb999n,239,112,77.00,0,2274,1086,1134,30,73.41,6.5,0.35,9,9,7,5,,,NXG - 1.3.7.16,7,16
1293918,"DEPCOM - Gemini Solar, NV - 967 MW - NX Gemini",https://nextracker.app.box.com/file/747886451129,967,54,105.00,0,2094,997,1038,35,60.63,6.5,0.27,4,4,4,3,,,NXG - 1.3.3.7,3,7
1293919,"DEPCOM - Gemini Solar, NV - 967 MW - NX Gemini",https://nextracker.app.box.com/file/747885754905,967,108,105.00,0,2094,997,1038,35,60.63,6.5,0.4,7,7,6,4,,,NXG - 1.3.3.7,3,7
